iterations,fitness,time,fevals
0,24.0,0.000605179000001,471
10,22.0,0.001139858,840
20,24.0,0.002287407,1216
30,31.0,0.002821908,1591
40,34.0,0.003768141,1958
50,34.0,0.00413343,2322
60,35.0,0.004551451,2688
70,35.0,0.004985878,3054
80,35.0,0.005398208,3426
90,35.0,0.006168087,3783
100,35.0,0.00658314,4146
110,36.0,0.006997646,4506
120,36.0,0.007319385,4879
130,35.0,0.007728789,5245
140,35.0,0.008140763,5607
150,36.0,0.008546728,5981
160,36.0,0.00890791,6352
170,36.0,0.009421697,6724
180,36.0,0.010075799,7089
190,36.0,0.010507966,7457
200,36.0,0.010852045,7820
210,36.0,0.011135797,8186
220,36.0,0.011463624,8553
230,37.0,0.011890192,8915
240,37.0,0.012280154,9289
250,37.0,0.012618367,9650
260,37.0,0.012929127,10013
270,37.0,0.013283421,10383
280,37.0,0.013575205,10756
290,37.0,0.013893681,11119
300,38.0,0.014218153,11486
310,37.0,0.014537791,11851
320,37.0,0.014866806,12216
330,40.0,0.015180129,12580
340,40.0,0.015508271,12941
350,37.0,0.015969782,13308
360,40.0,0.016298601,13678
370,40.0,0.016612354,14050
380,40.0,0.016894982,14409
390,40.0,0.017200506,14776
400,40.0,0.017508158,15148
410,40.0,0.017980976,15523
420,41.0,0.01867639,15893
430,40.0,0.019069874,16260
440,40.0,0.019460156,16625
450,40.0,0.019740713,16990
460,40.0,0.020049874,17360
470,41.0,0.020376424,17729
480,40.0,0.020687894,18106
490,40.0,0.021014523,18476
500,40.0,0.021316648,18841
510,40.0,0.021625616,19209
520,41.0,0.021964641,19577
530,40.0,0.022392466,19939
540,40.0,0.022698844,20299
550,41.0,0.022989855,20664
560,40.0,0.02327966,21032
570,40.0,0.0237274,21406
580,40.0,0.024041065,21776
590,40.0,0.024656514,22144
600,40.0,0.025006224,22512
610,40.0,0.025322595,22879
620,40.0,0.02572939,23249
630,40.0,0.026401019,23618
640,41.0,0.026714159,23991
650,41.0,0.02699918,24359
660,48.0,0.027297396,24732
670,48.0,0.027708172,25098
680,49.0,0.028052639,25465
690,49.0,0.028383047,25832
700,48.0,0.028709766,26200
710,48.0,0.029251802,26564
720,48.0,0.029542283,26930
730,48.0,0.029845355,27298
740,48.0,0.030176499,27661
750,49.0,0.030590741,28025
760,49.0,0.030942635,28390
770,49.0,0.031259698,28766
780,49.0,0.031590292,29137
790,49.0,0.031911704,29502
800,49.0,0.032243499,29877
810,49.0,0.032570385,30243
820,50.0,0.032875944,30611
830,49.0,0.033192967,30974
840,50.0,0.03353793,31340
850,49.0,0.033988093,31703
860,49.0,0.034337229,32069
870,49.0,0.034722875,32436
880,49.0,0.035069156,32807
890,49.0,0.035359174,33175
900,49.0,0.035765883,33548
910,50.0,0.036606121,33919
920,49.0,0.036914378,34288
930,49.0,0.037247825,34652
940,49.0,0.037658987,35011
950,49.0,0.038263689,35376
960,49.0,0.038563465,35737
970,49.0,0.038974898,36102
980,50.0,0.039371877,36464
990,50.0,0.039689073,36832
1000,50.0,0.040005334,37200
1010,50.0,0.040308636,37571
1020,50.0,0.04068711,37938
1030,50.0,0.040994538,38305
1040,50.0,0.041276461,38676
1050,51.0,0.041611576,39040
1060,50.0,0.041944037,39409
1070,51.0,0.042229446,39777
1080,51.0,0.042581005,40150
1090,50.0,0.042946013,40519
1100,50.0,0.04333064,40881
1110,50.0,0.043649365,41249
1120,50.0,0.044025266,41609
1130,51.0,0.044339989,41978
1140,51.0,0.04475117,42342
1150,51.0,0.045144512,42703
1160,51.0,0.046128979,43071
1170,51.0,0.04651404,43443
1180,51.0,0.046822786,43817
1190,51.0,0.047154467,44191
1200,51.0,0.0474435,44555
1210,51.0,0.047767246,44922
1220,51.0,0.048096091,45286
1230,51.0,0.04837684,45655
1240,51.0,0.048678057,46017
1250,51.0,0.048975475,46385
1260,51.0,0.049297865,46752
1270,51.0,0.049617815,47121
1280,51.0,0.049903994,47486
1290,51.0,0.050206408,47859
1300,51.0,0.050509998,48222
1310,51.0,0.050813558,48595
1320,52.0,0.051176736,48959
1330,52.0,0.051492369,49326
1340,52.0,0.051872388,49689
1350,52.0,0.052289579,50058
1360,52.0,0.052704024,50429
1370,52.0,0.053411399,50791
1380,52.0,0.053717989,51161
1390,52.0,0.054207419,51522
1400,52.0,0.054849935,51888
1410,52.0,0.05520802,52252
1420,52.0,0.055552442,52620
1430,52.0,0.055890436,52987
1440,52.0,0.056180044,53353
1450,52.0,0.05661275,53723
1460,52.0,0.05692543,54082
1470,52.0,0.057245673,54450
