iterations,fitness,time,fevals
0,21.0,0.0991756530001,1000
10,28.0,0.180690138,2100
20,33.0,0.286480267,3200
30,35.0,0.415469836,4300
40,36.0,0.600744621,5400
50,37.0,0.657312139,6500
60,36.0,0.729949842,7600
70,36.0,0.813323072,8700
80,36.0,0.894185643,9800
90,36.0,1.028622918,10900
100,36.0,1.088689935,12000
110,36.0,1.146554061,13100
120,36.0,1.208289688,14200
130,36.0,1.26449892,15300
140,36.0,1.318536471,16400
150,37.0,1.373777766,17500
160,42.0,1.428604604,18600
170,36.0,1.483610316,19700
180,36.0,1.54298332,20800
190,36.0,1.595166351,21900
200,36.0,1.655629857,23000
210,35.0,1.710902472,24100
220,36.0,1.772650461,25200
230,36.0,1.857799824,26300
240,36.0,1.919801266,27400
250,38.0,1.976970816,28500
260,36.0,2.037667797,29600
270,36.0,2.094554263,30700
280,40.0,2.27983534,31800
290,37.0,2.513078786,32900
300,40.0,2.590109131,34000
310,37.0,2.679102194,35100
320,38.0,2.744570073,36200
330,37.0,2.808046781,37300
340,38.0,2.867975214,38400
350,38.0,2.92805927,39500
360,38.0,2.992935605,40600
370,42.0,3.061435311,41700
380,38.0,3.117849539,42800
390,38.0,3.180340092,43900
400,40.0,3.236990944,45000
410,42.0,3.297260444,46100
420,42.0,3.354366187,47200
430,41.0,3.406834899,48300
440,40.0,3.457522169,49400
450,40.0,3.523292155,50500
460,42.0,3.576620075,51600
470,41.0,3.633604298,52700
480,41.0,3.800874059,53800
490,44.0,3.963234048,54900
500,42.0,4.03992803,56000
510,42.0,4.104549862,57100
520,41.0,4.183654459,58200
530,42.0,4.253480901,59300
540,42.0,4.317288166,60400
550,43.0,4.380946968,61500
560,43.0,4.450946272,62600
570,43.0,4.553113326,63700
580,40.0,4.644604709,64800
590,43.0,4.701412405,65900
600,42.0,4.767017906,67000
610,41.0,4.824432463,68100
620,43.0,4.903125258,69200
630,43.0,4.982161556,70300
640,44.0,5.04030093,71400
650,43.0,5.095485116,72500
660,43.0,5.159943452,73600
670,43.0,5.214231577,74700
680,43.0,5.268545875,75800
690,44.0,5.320372116,76900
700,41.0,5.37563289,78000
710,42.0,5.467786351,79100
720,46.0,5.529712383,80200
730,40.0,5.783934991,81300
740,41.0,5.850788181,82400
750,40.0,5.906227536,83500
760,43.0,5.969141079,84600
770,43.0,6.025864618,85700
780,41.0,6.0786261,86800
790,43.0,6.136654545,87900
800,44.0,6.189121381,89000
810,44.0,6.24059092,90100
820,44.0,6.293836032,91200
830,44.0,6.350035005,92300
840,43.0,6.409956162,93400
850,44.0,6.463114103,94500
860,44.0,6.513516984,95600
870,41.0,6.564621289,96700
880,44.0,6.617331593,97800
890,41.0,6.671701613,98900
900,44.0,6.729115349,100000
910,42.0,6.781349961,101100
920,44.0,6.844355137,102200
930,42.0,6.908741103,103300
940,42.0,6.994796787,104400
950,44.0,7.080475556,105500
960,44.0,7.430594255,106600
970,45.0,7.758585486,107700
980,43.0,7.826464706,108800
990,42.0,7.901497512,109900
1000,43.0,8.171286172,111000
1010,44.0,8.307583173,112100
1020,44.0,8.440814941,113200
1030,42.0,8.567130644,114300
1040,42.0,8.657040893,115400
1050,41.0,8.722975217,116500
1060,43.0,8.79495923,117600
1070,43.0,8.852920197,118700
1080,44.0,8.909504567,119800
1090,43.0,9.105017216,120900
1100,43.0,9.182088938,122000
1110,43.0,9.259798592,123100
1120,44.0,9.323441829,124200
1130,43.0,9.386111583,125300
1140,45.0,9.476008729,126400
1150,44.0,9.561567349,127500
1160,43.0,9.763116663,128600
1170,44.0,9.880951043,129700
1180,44.0,9.941169371,130800
1190,43.0,9.999363389,131900
1200,44.0,10.058506072,133000
1210,44.0,10.11584765,134100
1220,44.0,10.186598894,135200
1230,44.0,10.256670417,136300
1240,43.0,10.309530816,137400
1250,44.0,10.363522465,138500
1260,44.0,10.420268712,139600
1270,45.0,10.476962219,140700
1280,44.0,10.532383294,141800
1290,44.0,10.589871651,142900
1300,43.0,10.64671996,144000
1310,44.0,10.707306944,145100
1320,45.0,10.768719288,146200
1330,44.0,10.824853558,147300
1340,44.0,10.885629132,148400
1350,46.0,10.942407267,149500
1360,44.0,11.002282687,150600
1370,44.0,11.061483201,151700
1380,44.0,11.115902563,152800
1390,44.0,11.171776295,153900
1400,44.0,11.235484173,155000
1410,44.0,11.313681576,156100
1420,44.0,11.368460186,157200
1430,45.0,11.421990384,158300
1440,45.0,11.567890496,159400
1450,45.0,11.694543088,160500
1460,45.0,11.758116624,161600
1470,44.0,11.813693898,162700
1480,44.0,11.893900682,163800
1490,44.0,12.032252717,164900
1500,44.0,12.124085333,166000
1510,44.0,12.214713347,167100
1520,44.0,12.286146342,168200
1530,44.0,12.37019935,169300
1540,44.0,12.452920602,170400
1550,43.0,12.520892953,171500
1560,44.0,12.863654954,172600
1570,44.0,12.968957898,173700
1580,44.0,13.052168878,174800
