iterations,fitness,time,fevals
0,14.0,1.75369999997e-05,11
10,15.0,3.42309999999e-05,21
20,15.0,5.26029999999e-05,31
30,15.0,7.29169999998e-05,41
40,15.0,8.51869999998e-05,51
50,15.0,0.000116131,61
60,15.0,0.00014483,71
70,15.0,0.000165404,81
80,15.0,0.000177317,91
90,15.0,0.00019434,101
100,15.0,0.000207247,111
110,15.0,0.000226156,121
120,15.0,0.000238862,131
130,15.0,0.000260265,141
140,18.0,0.000278645999999,151
150,18.0,0.000291332999999,161
160,18.0,0.000303352,171
170,18.0,0.000315192,181
180,18.0,0.000325984999999,191
190,18.0,0.000333620999999,201
200,18.0,0.000346707999999,211
210,18.0,0.000362603999999,221
220,18.0,0.000374286999999,231
230,18.0,0.000384003999998,241
240,18.0,0.000397844999999,251
250,18.0,0.000413045999999,261
260,18.0,0.000429346999999,271
270,18.0,0.000465365999999,281
280,18.0,0.000493645999999,291
290,18.0,0.000556261999999,301
300,18.0,0.000567407999998,311
310,21.0,0.000578765999999,321
320,21.0,0.000589288999998,331
330,21.0,0.000598397999998,341
340,21.0,0.000610626999998,351
350,21.0,0.000623324999998,361
360,21.0,0.000637293999998,371
370,21.0,0.000651209999998,381
380,21.0,0.000662916999998,391
390,21.0,0.000674169999998,401
400,21.0,0.000700079999998,411
410,22.0,0.000712847999998,421
420,22.0,0.000724442999998,431
430,22.0,0.000740588999998,441
440,22.0,0.000752542999998,451
450,22.0,0.000764685999998,461
460,24.0,0.000778477999998,471
470,24.0,0.000791425999998,481
480,24.0,0.000805911999998,491
490,24.0,0.000820007999998,501
500,24.0,0.000848310999998,511
510,24.0,0.000900214999997,521
520,24.0,0.000948480999998,531
530,24.0,0.001000833,541
540,24.0,0.001033172,551
550,24.0,0.00104836,561
560,24.0,0.00106488,571
570,24.0,0.001078914,581
580,24.0,0.001092449,591
590,24.0,0.001106089,601
600,24.0,0.001119744,611
610,24.0,0.001133737,621
620,24.0,0.001146298,631
630,24.0,0.001159223,641
640,24.0,0.001174463,651
650,24.0,0.001188892,661
660,24.0,0.001202202,671
670,24.0,0.00121622,681
680,24.0,0.001228024,691
690,24.0,0.00123973,701
700,24.0,0.00126399,711
710,24.0,0.00127653,721
720,24.0,0.00129084,731
730,24.0,0.001305775,741
740,24.0,0.001316848,751
750,24.0,0.001325069,761
760,25.0,0.001334733,771
770,25.0,0.001348498,781
780,25.0,0.001363735,791
790,25.0,0.001376234,801
800,25.0,0.001474212,811
810,26.0,0.001486658,821
820,27.0,0.001565475,831
830,27.0,0.001603139,841
840,27.0,0.001620109,851
850,27.0,0.001634379,861
860,27.0,0.001647216,871
870,27.0,0.001658282,881
880,28.0,0.001667924,891
890,28.0,0.001688655,901
900,28.0,0.001700127,911
910,28.0,0.001716057,921
920,28.0,0.001729118,931
930,28.0,0.001741152,941
940,28.0,0.001754612,951
950,28.0,0.001765795,961
960,28.0,0.001779729,971
970,28.0,0.001800334,981
980,28.0,0.001811557,991
990,28.0,0.001822257,1001
1000,28.0,0.001832462,1011
1010,28.0,0.001845614,1021
1020,28.0,0.001857571,1031
1030,29.0,0.001872632,1041
1040,29.0,0.001885648,1051
1050,30.0,0.0018995,1061
1060,31.0,0.001911383,1071
1070,31.0,0.001923833,1081
1080,31.0,0.001934476,1091
1090,31.0,0.001957444,1101
1100,31.0,0.001970293,1111
1110,31.0,0.001984976,1121
1120,32.0,0.00202505,1131
1130,33.0,0.00206185,1141
1140,33.0,0.002121155,1151
1150,33.0,0.002134612,1161
1160,33.0,0.002149146,1171
1170,33.0,0.002165036,1181
1180,33.0,0.002177326,1191
1190,33.0,0.002190528,1201
1200,33.0,0.00220854,1211
1210,34.0,0.002233877,1221
1220,34.0,0.002254187,1231
1230,34.0,0.002267609,1241
1240,34.0,0.002279232,1251
1250,35.0,0.002292515,1261
1260,35.0,0.002302503,1271
1270,35.0,0.002314019,1281
1280,35.0,0.002324128,1291
1290,35.0,0.002335264,1301
1300,35.0,0.002345992,1311
1310,35.0,0.00236142,1321
1320,35.0,0.002409118,1331
1330,35.0,0.002431059,1341
1340,35.0,0.002485404,1351
1350,36.0,0.002498642,1361
1360,36.0,0.002511766,1371
1370,38.0,0.002523109,1381
1380,38.0,0.002535315,1391
1390,38.0,0.002546841,1401
1400,38.0,0.002559234,1411
1410,39.0,0.002568576,1421
1420,39.0,0.002578521,1431
1430,39.0,0.002589465,1441
1440,39.0,0.002604395,1451
1450,39.0,0.002616712,1461
1460,39.0,0.00262784,1471
1470,39.0,0.002637121,1481
1480,39.0,0.002646757,1491
1490,39.0,0.002665919,1501
1500,39.0,0.002682095,1511
1510,39.0,0.002692905,1521
1520,39.0,0.002704041,1531
1530,39.0,0.002716996,1541
1540,39.0,0.002727856,1551
1550,39.0,0.002816057,1561
