iterations,fitness,time,fevals
0,15.0,2.34659999996e-05,11
10,14.0,4.54799999998e-05,21
20,12.0,6.35349999998e-05,31
30,14.0,8.22259999995e-05,41
40,14.0,0.000100332999999,51
50,16.0,0.000126287999999,61
60,16.0,0.000149457999999,71
70,16.0,0.000201167999999,81
80,16.0,0.000250949999999,91
90,16.0,0.000299222,101
100,16.0,0.000317763,111
110,16.0,0.000343067,121
120,16.0,0.000362393,131
130,16.0,0.000381914,141
140,16.0,0.000403323,151
150,18.0,0.000445166,161
160,18.0,0.000580888,171
170,18.0,0.000608274,181
180,18.0,0.00063073,191
190,19.0,0.000651347,201
200,19.0,0.000674718,211
210,19.0,0.000738916,221
220,20.0,0.000760653,231
230,20.0,0.000837303,241
240,20.0,0.000890988,251
250,21.0,0.000914483,261
260,22.0,0.001158558,271
270,23.0,0.002418197,281
280,23.0,0.002476214,291
290,23.0,0.00249521,301
300,23.0,0.00251403,311
310,23.0,0.002535638,321
320,23.0,0.002555133,331
330,23.0,0.00257571,341
340,23.0,0.002592286,351
350,24.0,0.002629021,361
360,24.0,0.002697386,371
370,24.0,0.002719503,381
380,25.0,0.002738413,391
390,25.0,0.002758027,401
400,25.0,0.002776433,411
410,27.0,0.002796638,421
420,28.0,0.002815183,431
430,28.0,0.002871222,441
440,28.0,0.0030107,451
450,28.0,0.003173289,461
460,28.0,0.003214597,471
470,28.0,0.003259308,481
480,28.0,0.003281686,491
490,28.0,0.003341219,501
500,28.0,0.003361368,511
510,28.0,0.003382643,521
520,28.0,0.003401823,531
530,28.0,0.003422039,541
540,28.0,0.003442465,551
550,28.0,0.003463446,561
560,28.0,0.003481811,571
570,28.0,0.003499671,581
580,28.0,0.003517623,591
590,28.0,0.00354024,601
600,28.0,0.003557986,611
610,28.0,0.003582129,621
620,28.0,0.003602325,631
630,28.0,0.003620106,641
640,28.0,0.003643087,651
650,29.0,0.003663474,661
660,29.0,0.003683666,671
670,29.0,0.003700215,681
680,29.0,0.00371811,691
690,29.0,0.003740275,701
700,29.0,0.003769306,711
710,29.0,0.00378633,721
720,29.0,0.003808183,731
730,30.0,0.003826781,741
740,30.0,0.0038467,751
750,30.0,0.003865444,761
760,30.0,0.003901447,771
770,30.0,0.003932414,781
780,30.0,0.003953349,791
790,30.0,0.003975687,801
800,30.0,0.003994776,811
810,30.0,0.004014387,821
820,30.0,0.004034162,831
830,30.0,0.004096474,841
840,30.0,0.004114663,851
850,30.0,0.004149953,861
860,33.0,0.004167398,871
870,33.0,0.004200083,881
880,33.0,0.00421786,891
890,33.0,0.004239506,901
900,33.0,0.004258612,911
910,33.0,0.004278014,921
920,33.0,0.004298277,931
930,34.0,0.004333173,941
940,34.0,0.004421727,951
950,34.0,0.004530382,961
960,34.0,0.004549254,971
970,34.0,0.004568692,981
980,34.0,0.00458798,991
990,34.0,0.004609442,1001
1000,34.0,0.00464507,1011
1010,34.0,0.004707986,1021
1020,34.0,0.004755257,1031
1030,34.0,0.004779337,1041
1040,34.0,0.005014264,1051
1050,34.0,0.005530712,1061
1060,34.0,0.005559593,1071
1070,34.0,0.005603644,1081
1080,34.0,0.005628379,1091
1090,34.0,0.005665712,1101
1100,34.0,0.005685718,1111
1110,35.0,0.005728794,1121
1120,35.0,0.005789837,1131
1130,35.0,0.00581593,1141
1140,35.0,0.005833892,1151
1150,35.0,0.005851574,1161
1160,35.0,0.005874501,1171
1170,35.0,0.005894152,1181
1180,35.0,0.005913129,1191
1190,35.0,0.005930979,1201
1200,35.0,0.005950672,1211
1210,35.0,0.005968681,1221
1220,35.0,0.005989942,1231
1230,35.0,0.006011616,1241
1240,35.0,0.006072943,1251
1250,38.0,0.00611855,1261
1260,38.0,0.006146027,1271
1270,38.0,0.006185473,1281
1280,38.0,0.00621126,1291
1290,38.0,0.006230695,1301
1300,38.0,0.006255094,1311
1310,41.0,0.006280343,1321
1320,41.0,0.006299328,1331
1330,41.0,0.006322267,1341
1340,41.0,0.006340476,1351
1350,43.0,0.006356982,1361
1360,44.0,0.006372962,1371
1370,44.0,0.006388636,1381
1380,44.0,0.006403426,1391
1390,44.0,0.006419444,1401
1400,44.0,0.00643402,1411
1410,44.0,0.006450038,1421
1420,44.0,0.006466172,1431
1430,44.0,0.006481782,1441
1440,44.0,0.006497846,1451
1450,44.0,0.006516369,1461
1460,44.0,0.006532473,1471
1470,44.0,0.006554095,1481
1480,44.0,0.006568926,1491
1490,44.0,0.00661367,1501
1500,44.0,0.006629348,1511
1510,45.0,0.00664591,1521
1520,45.0,0.006674568,1531
1530,45.0,0.006695145,1541
1540,45.0,0.006713034,1551
1550,45.0,0.006732487,1561
1560,45.0,0.006753664,1571
1570,45.0,0.006775387,1581
1580,45.0,0.006793517,1591
1590,45.0,0.006817431,1601
1600,45.0,0.006842103,1611
1610,45.0,0.006873169,1621
1620,45.0,0.006911477,1631
1630,45.0,0.006987329,1641
1640,46.0,0.007013419,1651
1650,46.0,0.007035669,1661
1660,46.0,0.007055352,1671
1670,46.0,0.007088104,1681
1680,46.0,0.00710621,1691
1690,46.0,0.007125321,1701
1700,46.0,0.007143807,1711
1710,46.0,0.007166957,1721
1720,46.0,0.007184459,1731
1730,46.0,0.007201679,1741
1740,46.0,0.007223916,1751
1750,46.0,0.007246974,1761
1760,46.0,0.007271103,1771
1770,46.0,0.0072894,1781
1780,46.0,0.007307204,1791
1790,46.0,0.007326852,1801
1800,46.0,0.007346523,1811
1810,46.0,0.007371677,1821
1820,46.0,0.007389327,1831
1830,46.0,0.007419999,1841
1840,46.0,0.007438146,1851
1850,46.0,0.007475978,1861
1860,46.0,0.007495374,1871
1870,46.0,0.007572889,1881
1880,46.0,0.007629992,1891
1890,46.0,0.007674858,1901
1900,46.0,0.007698399,1911
1910,46.0,0.007760804,1921
1920,46.0,0.007784778,1931
1930,46.0,0.007802946,1941
1940,46.0,0.007824298,1951
1950,46.0,0.007844085,1961
1960,46.0,0.00786299,1971
1970,46.0,0.007903099,1981
1980,47.0,0.007933228,1991
1990,47.0,0.007952689,2001
2000,47.0,0.007971411,2011
2010,47.0,0.007994518,2021
2020,47.0,0.008014413,2031
2030,47.0,0.008032077,2041
2040,47.0,0.008048737,2051
2050,47.0,0.008075576,2061
2060,47.0,0.008094395,2071
2070,47.0,0.008126543,2081
2080,47.0,0.008147119,2091
2090,47.0,0.008164247,2101
2100,47.0,0.00818082,2111
2110,47.0,0.00823913,2121
2120,47.0,0.008310864,2131
2130,47.0,0.00836071,2141
2140,47.0,0.008394419,2151
2150,47.0,0.008412113,2161
2160,47.0,0.008429766,2171
2170,47.0,0.008450956,2181
2180,47.0,0.008473826,2191
2190,47.0,0.008495875,2201
2200,47.0,0.00851494200001,2211
2210,47.0,0.00854388900001,2221
2220,47.0,0.00856346000001,2231
2230,47.0,0.00858475700001,2241
2240,47.0,0.00860630900001,2251
2250,47.0,0.008623665,2261
2260,47.0,0.008639969,2271
2270,47.0,0.008669305,2281
2280,47.0,0.008687947,2291
2290,48.0,0.008712551,2301
2300,48.0,0.008733442,2311
2310,48.0,0.00875246,2321
2320,48.0,0.008766371,2331
2330,48.0,0.008780505,2341
2340,48.0,0.008799976,2351
2350,49.0,0.008865103,2361
2360,50.0,0.00888615,2371
2370,50.0,0.008925547,2381
2380,50.0,0.009015911,2391
2390,50.0,0.009081155,2401
2400,50.0,0.009112937,2411
2410,50.0,0.009131805,2421
2420,53.0,0.00915098,2431
2430,53.0,0.009168074,2441
2440,53.0,0.009181559,2451
2450,53.0,0.00919630700001,2461
2460,54.0,0.00925862300001,2471
2470,54.0,0.00927480200001,2481
2480,56.0,0.00929594100001,2491
2490,56.0,0.00931281000001,2501
2500,56.0,0.009331828,2511
2510,56.0,0.00934875900001,2521
2520,56.0,0.00936802700001,2531
2530,56.0,0.00939013400001,2541
2540,56.0,0.00940941800001,2551
2550,56.0,0.00942889000001,2561
2560,56.0,0.00944749900001,2571
2570,56.0,0.00946575400001,2581
2580,56.0,0.00948072500001,2591
2590,57.0,0.00949312400001,2601
2600,57.0,0.00950441700001,2611
2610,57.0,0.00951592200001,2621
2620,57.0,0.00953125500001,2631
2630,57.0,0.00955352300001,2641
2640,57.0,0.00957416000001,2651
2650,57.0,0.00960165200001,2661
2660,57.0,0.00962945500001,2671
2670,57.0,0.00965445500001,2681
2680,57.0,0.009693736,2691
2690,57.0,0.009711011,2701
2700,57.0,0.009729688,2711
2710,59.0,0.0097558,2721
2720,59.0,0.009772569,2731
2730,59.0,0.009790861,2741
2740,59.0,0.009810652,2751
2750,59.0,0.00982723800001,2761
2760,60.0,0.00988060300001,2771
2770,60.0,0.00995748100001,2781
2780,65.0,0.00997802600001,2791
2790,66.0,0.00999563100001,2801
2800,66.0,0.010014854,2811
2810,71.0,0.010040428,2821
2820,71.0,0.010055076,2831
2830,71.0,0.010070832,2841
2840,71.0,0.010094138,2851
2850,72.0,0.010108366,2861
2860,72.0,0.010130606,2871
2870,72.0,0.010149671,2881
2880,72.0,0.010167011,2891
2890,72.0,0.010187521,2901
2900,72.0,0.010201748,2911
2910,72.0,0.010220274,2921
2920,72.0,0.010249729,2931
2930,72.0,0.010264686,2941
2940,72.0,0.010279899,2951
2950,72.0,0.010299497,2961
2960,72.0,0.01031349,2971
2970,73.0,0.010326411,2981
2980,76.0,0.010341366,2991
2990,76.0,0.010359696,3001
3000,76.0,0.010382686,3011
3010,76.0,0.010402753,3021
3020,76.0,0.010458209,3031
3030,76.0,0.010502768,3041
3040,76.0,0.010557521,3051
3050,76.0,0.010577244,3061
3060,76.0,0.01059199,3071
3070,76.0,0.010605046,3081
3080,76.0,0.010617309,3091
3090,76.0,0.010629228,3101
3100,76.0,0.010646182,3111
3110,76.0,0.010659145,3121
3120,76.0,0.010674222,3131
3130,76.0,0.010687051,3141
3140,76.0,0.0106998,3151
3150,76.0,0.010728866,3161
3160,77.0,0.010748692,3171
3170,77.0,0.010761473,3181
3180,78.0,0.010772533,3191
3190,78.0,0.010784828,3201
3200,78.0,0.010800893,3211
3210,78.0,0.010814377,3221
3220,78.0,0.010826413,3231
3230,78.0,0.010838089,3241
3240,78.0,0.010849424,3251
3250,78.0,0.010887115,3261
3260,78.0,0.010911463,3271
3270,78.0,0.010981762,3281
3280,78.0,0.011001519,3291
3290,78.0,0.011024898,3301
3300,78.0,0.011043045,3311
3310,78.0,0.01109389,3321
3320,78.0,0.011115192,3331
3330,78.0,0.011138313,3341
3340,78.0,0.011205764,3351
3350,78.0,0.011276622,3361
3360,78.0,0.011328593,3371
3370,78.0,0.011351853,3381
3380,81.0,0.011375621,3391
3390,81.0,0.011393774,3401
3400,81.0,0.011413363,3411
3410,81.0,0.011434011,3421
3420,81.0,0.011451713,3431
3430,81.0,0.011471661,3441
3440,81.0,0.011494999,3451
3450,81.0,0.011513567,3461
3460,81.0,0.011535818,3471
3470,81.0,0.011559204,3481
3480,81.0,0.011579492,3491
3490,81.0,0.011599039,3501
3500,81.0,0.011616333,3511
3510,81.0,0.011637668,3521
3520,81.0,0.011656561,3531
3530,81.0,0.011674784,3541
3540,82.0,0.011696702,3551
3550,82.0,0.011714786,3561
3560,82.0,0.011737614,3571
3570,82.0,0.011756888,3581
3580,82.0,0.011778436,3591
3590,82.0,0.011800109,3601
3600,82.0,0.011817433,3611
3610,82.0,0.01183542,3621
3620,82.0,0.011856282,3631
3630,82.0,0.011895048,3641
3640,83.0,0.011968225,3651
3650,83.0,0.012035343,3661
3660,83.0,0.01207727,3671
3670,85.0,0.013674043,3681
3680,86.0,0.01369601,3691
3690,88.0,0.013716582,3701
3700,88.0,0.013734554,3711
3710,88.0,0.013753373,3721
3720,88.0,0.013772683,3731
3730,88.0,0.013794509,3741
3740,88.0,0.01381278,3751
3750,88.0,0.013831519,3761
3760,88.0,0.013849521,3771
3770,88.0,0.013867285,3781
3780,88.0,0.013885756,3791
3790,88.0,0.013907557,3801
3800,88.0,0.013925419,3811
3810,88.0,0.013943619,3821
3820,88.0,0.01396128,3831
3830,88.0,0.013977457,3841
3840,88.0,0.013996078,3851
3850,88.0,0.014018005,3861
3860,89.0,0.014044709,3871
3870,90.0,0.014076215,3881
3880,90.0,0.014094862,3891
3890,90.0,0.014109469,3901
3900,90.0,0.01412179,3911
3910,90.0,0.014133644,3921
3920,90.0,0.014145387,3931
3930,90.0,0.014182884,3941
3940,90.0,0.014257003,3951
3950,90.0,0.014278312,3961
3960,90.0,0.014295218,3971
3970,91.0,0.014369743,3981
3980,91.0,0.014391158,3991
3990,91.0,0.014408116,4001
4000,92.0,0.014426815,4011
4010,92.0,0.014444061,4021
4020,92.0,0.014469921,4031
4030,92.0,0.014488587,4041
4040,92.0,0.014503845,4051
4050,92.0,0.014518659,4061
4060,92.0,0.014544035,4071
4070,92.0,0.014561882,4081
4080,93.0,0.014577137,4091
4090,93.0,0.014591828,4101
4100,93.0,0.014616876,4111
4110,93.0,0.014637631,4121
4120,93.0,0.014654562,4131
4130,93.0,0.014816135,4141
4140,93.0,0.015136025,4151
4150,93.0,0.015198863,4161
4160,95.0,0.015247106,4171
4170,95.0,0.015270808,4181
4180,95.0,0.015298618,4191
4190,95.0,0.015314232,4201
4200,95.0,0.015329047,4211
4210,95.0,0.015347366,4221
4220,95.0,0.015365269,4231
4230,95.0,0.01538336,4241
4240,95.0,0.015421048,4251
4250,95.0,0.015437523,4261
4260,95.0,0.015456753,4271
4270,95.0,0.015481829,4281
4280,95.0,0.015581031,4291
4290,95.0,0.015595098,4301
4300,95.0,0.015616483,4311
4310,95.0,0.0156378,4321
4320,96.0,0.015652326,4331
4330,96.0,0.01568664,4341
4340,96.0,0.015741672,4351
4350,96.0,0.015762422,4361
4360,96.0,0.015780692,4371
4370,96.0,0.015794276,4381
4380,96.0,0.015813101,4391
4390,99.0,0.015833295,4401
4400,99.0,0.015852309,4411
4410,99.0,0.015909297,4421
4420,99.0,0.015993552,4431
4430,99.0,0.016034933,4441
4440,99.0,0.016071197,4451
4450,99.0,0.016087293,4461
4460,99.0,0.016099852,4471
4470,99.0,0.016117119,4481
4480,99.0,0.016136865,4491
4490,99.0,0.016155449,4501
4500,99.0,0.016172662,4511
4510,99.0,0.016187356,4521
4520,99.0,0.016200538,4531
4530,99.0,0.016232946,4541
4540,99.0,0.016246783,4551
4550,99.0,0.01629642,4561
4560,99.0,0.016314728,4571
4570,99.0,0.016327565,4581
4580,99.0,0.016359555,4591
4590,99.0,0.016377754,4601
4600,99.0,0.016393901,4611
4610,99.0,0.016410026,4621
4620,99.0,0.016507996,4631
4630,99.0,0.016528889,4641
4640,99.0,0.01654946,4651
4650,99.0,0.016568822,4661
4660,99.0,0.016583453,4671
4670,99.0,0.016596079,4681
4680,99.0,0.016611511,4691
4690,99.0,0.016629283,4701
4700,99.0,0.016700539,4711
4710,99.0,0.01676403,4721
4720,99.0,0.016829054,4731
4730,99.0,0.016864556,4741
4740,99.0,0.016894784,4751
4750,99.0,0.016917359,4761
4760,99.0,0.016941385,4771
4770,99.0,0.016961771,4781
4780,99.0,0.016979817,4791
4790,99.0,0.016996731,4801
4800,99.0,0.017011483,4811
4810,99.0,0.017024923,4821
4820,99.0,0.017040321,4831
4830,99.0,0.017056511,4841
4840,99.0,0.017070272,4851
4850,99.0,0.01708409,4861
4860,99.0,0.017102824,4871
4870,99.0,0.017116314,4881
4880,99.0,0.01713217,4891
4890,99.0,0.01715211,4901
4900,99.0,0.017175418,4911
4910,99.0,0.017199788,4921
4920,99.0,0.017220624,4931
4930,99.0,0.017295721,4941
4940,99.0,0.017307993,4951
4950,99.0,0.017321555,4961
4960,99.0,0.017338883,4971
4970,99.0,0.017351072,4981
4980,99.0,0.017367825,4991
4990,99.0,0.017391345,5001
5000,99.0,0.01740907,5011
