iterations,fitness,time,fevals
0,531.0,0.003242613,562
10,539.0,0.006290644,1012
20,531.0,0.008389779,1472
30,537.0,0.010667006,1938
40,537.0,0.012342663,2387
50,538.0,0.013992498,2823
60,538.0,0.01569562,3273
70,538.0,0.01707575,3731
80,540.0,0.018673483,4197
90,536.0,0.020159072,4656
100,532.0,0.021924322,5119
110,530.0,0.023189607,5568
120,532.0,0.024543972,6032
130,528.0,0.026319124,6486
140,530.0,0.027779232,6953
150,534.0,0.029077344,7415
160,532.0,0.030817634,7873
170,536.0,0.035862667,8329
180,536.0,0.039751429,8778
190,542.0,0.041183542,9231
200,542.0,0.042469974,9674
210,550.0,0.043980714,10133
220,540.0,0.045252311,10577
230,540.0,0.047413602,11024
240,536.0,0.050125035,11476
250,538.0,0.051691536,11932
260,542.0,0.052966484,12394
270,546.0,0.054171022,12853
280,550.0,0.055459553,13313
290,552.0,0.056682409,13773
300,558.0,0.05812093,14221
310,547.0,0.059393026,14676
320,548.0,0.060593481,15132
330,550.0,0.062465455,15595
340,550.0,0.063768803,16055
350,550.0,0.065995535,16512
360,548.0,0.067599414,16962
370,552.0,0.068918784,17430
380,546.0,0.070124371,17862
390,546.0,0.071354861,18315
400,542.0,0.074016845,18767
410,548.0,0.075450279,19222
420,540.0,0.076841758,19672
430,542.0,0.078182809,20128
440,540.0,0.079386278,20573
450,544.0,0.08163503,21033
460,544.0,0.085111326,21478
470,544.0,0.086531592,21932
480,544.0,0.087829804,22378
490,548.0,0.089354017,22832
500,548.0,0.090571096,23287
510,548.0,0.091942612,23747
520,548.0,0.093243871,24212
530,550.0,0.094915266,24664
540,544.0,0.096552613,25121
550,544.0,0.097839272,25586
560,548.0,0.101731927,26041
570,552.0,0.10347884,26501
580,546.0,0.104775952,26949
590,549.0,0.106039946,27402
600,548.0,0.107326662,27867
610,544.0,0.108572955,28341
620,552.0,0.110040365,28789
630,546.0,0.111491617,29242
640,546.0,0.112916099,29691
650,546.0,0.114496482,30149
660,548.0,0.1159295,30617
670,558.0,0.11797758,31074
680,552.0,0.119524881,31526
690,556.0,0.120879006,31984
700,558.0,0.122198111,32430
710,560.0,0.124528397,32882
720,552.0,0.125815347,33361
730,558.0,0.127149497,33822
740,554.0,0.128598161,34282
750,558.0,0.129917627,34738
760,558.0,0.131781542,35196
770,562.0,0.133101794,35646
780,562.0,0.135286964,36106
790,564.0,0.136884524,36552
800,558.0,0.139407028,37014
810,557.0,0.140699327,37468
820,558.0,0.141942449,37925
830,559.0,0.143214557,38385
840,557.0,0.144631066,38836
850,553.0,0.146150618,39289
860,553.0,0.147676829,39750
870,559.0,0.149354393,40218
880,561.0,0.15073025,40680
890,563.0,0.152922831,41130
900,561.0,0.155334246,41576
910,559.0,0.156794696,42040
920,559.0,0.15817075,42497
930,560.0,0.159389757,42953
940,559.0,0.160645422,43411
950,561.0,0.163857105,43885
960,567.0,0.165151292,44346
970,567.0,0.166368215,44804
980,562.0,0.167808644,45253
990,564.0,0.169074238,45722
1000,569.0,0.170931735,46165
1010,567.0,0.17250834,46613
1020,569.0,0.173797645,47079
1030,569.0,0.17501393,47533
1040,569.0,0.17774437,47992
1050,563.0,0.178930919,48440
1060,561.0,0.18011546,48880
