iterations,fitness,time,fevals
0,554.0,13.779727217,1000
10,561.0,28.589406201,2100
20,584.0,40.106590753,3200
30,600.0,50.88694154,4300
40,618.0,63.444668234,5400
50,656.0,74.929445168,6500
60,684.0,89.342005157,7600
70,690.0,99.694175906,8700
80,700.0,110.802945309,9800
90,724.0,120.420204127,10900
100,730.0,130.133364724,12000
110,740.0,140.087072386,13100
120,745.0,150.304504699,14200
130,748.0,161.161842624,15300
140,750.0,171.411342468,16400
150,750.0,182.210515185,17500
160,757.0,192.209587847,18600
170,764.0,203.603566004,19700
180,759.0,214.001104634,20800
190,761.0,225.477002068,21900
200,763.0,235.597732053,23000
210,773.0,245.825389287,24100
220,773.0,255.313919092,25200
230,764.0,265.61661794,26300
240,774.0,276.721211486,27400
250,769.0,286.842463397,28500
260,775.0,296.24916317,29600
270,775.0,305.030549623,30700
280,779.0,313.655473013,31800
290,776.0,322.023409937,32900
300,776.0,330.467518525,34000
310,776.0,339.010704628,35100
320,774.0,347.180621178,36200
330,774.0,355.983886113,37300
340,776.0,364.54700894,38400
350,778.0,376.128307336,39500
360,776.0,391.847904537,40600
370,782.0,403.158532713,41700
380,780.0,415.578529855,42800
390,794.0,425.601548763,43900
400,780.0,434.698994294,45000
410,784.0,443.912648457,46100
420,792.0,453.143582562,47200
430,786.0,463.164543887,48300
440,786.0,472.159936334,49400
450,784.0,481.430977137,50500
460,796.0,490.451764204,51600
470,782.0,499.004392583,52700
480,792.0,507.509196929,53800
490,788.0,516.401553808,54900
500,796.0,525.327753588,56000
510,798.0,534.836912291,57100
520,796.0,544.686847363,58200
530,804.0,554.420767405,59300
540,796.0,562.980912351,60400
550,803.0,572.352350029,61500
560,800.0,580.686703755,62600
570,800.0,589.958232819,63700
580,806.0,599.47246606,64800
590,802.0,608.91723827,65900
600,804.0,619.068996833,67000
610,800.0,630.067404993,68100
620,798.0,640.792245007,69200
630,806.0,651.733009612,70300
640,808.0,663.464750838,71400
650,798.0,674.804103929,72500
660,804.0,686.02063198,73600
670,796.0,697.775382115,74700
680,802.0,710.984124844,75800
690,804.0,726.022234234,76900
700,808.0,736.811691012,78000
710,800.0,745.525464719,79100
720,805.0,754.252258041,80200
730,810.0,762.916448175,81300
740,796.0,771.923705904,82400
750,788.0,782.324405376,83500
760,784.0,792.585228114,84600
770,798.0,801.488203168,85700
780,804.0,811.855870453,86800
790,806.0,822.430968434,87900
800,802.0,831.413944209,89000
810,812.0,840.036052897,90100
820,802.0,850.489879418,91200
830,812.0,860.203796219,92300
840,802.0,868.961203494,93400
850,802.0,877.749214162,94500
860,794.0,886.561810028,95600
870,800.0,895.234813053,96700
880,797.0,904.18847454,97800
890,814.0,913.149062145,98900
900,804.0,922.048725389,100000
910,806.0,932.64311525,101100
920,818.0,942.916192253,102200
930,810.0,954.704606614,103300
940,804.0,964.757731873,104400
950,808.0,974.835436034,105500
960,808.0,986.032282351,106600
970,812.0,996.054934147,107700
980,796.0,1005.91619948,108800
990,808.0,1016.13541341,109900
1000,813.0,1025.58245751,111000
1010,824.0,1035.74165508,112100
1020,824.0,1045.77275242,113200
1030,820.0,1056.39864862,114300
1040,810.0,1066.29871406,115400
1050,802.0,1076.19525774,116500
1060,812.0,1084.93597289,117600
1070,822.0,1093.6215584,118700
1080,818.0,1102.34814384,119800
1090,818.0,1111.10557886,120900
1100,834.0,1119.5150889,122000
1110,826.0,1128.01842636,123100
1120,804.0,1137.04154977,124200
1130,818.0,1145.84835988,125300
1140,812.0,1154.31802539,126400
1150,824.0,1163.07652512,127500
1160,822.0,1171.86897686,128600
1170,816.0,1180.51075757,129700
1180,820.0,1189.63743202,130800
1190,828.0,1198.80855851,131900
1200,820.0,1208.78637235,133000
1210,826.0,1219.06187513,134100
1220,812.0,1228.74268234,135200
1230,810.0,1238.06100207,136300
1240,810.0,1246.68123811,137400
1250,826.0,1255.6039744,138500
1260,832.0,1264.55252556,139600
1270,818.0,1273.16837244,140700
1280,818.0,1281.90641724,141800
1290,816.0,1290.68140271,142900
1300,822.0,1299.50844017,144000
1310,814.0,1308.27272723,145100
1320,806.0,1316.81128108,146200
1330,806.0,1325.35100899,147300
1340,812.0,1337.10030336,148400
1350,830.0,1346.946967,149500
1360,832.0,1355.43673871,150600
1370,822.0,1363.88422255,151700
1380,822.0,1371.90656651,152800
1390,818.0,1380.47858371,153900
1400,808.0,1388.85743156,155000
1410,822.0,1397.09644134,156100
1420,826.0,1405.25691368,157200
1430,814.0,1413.84182862,158300
1440,826.0,1422.56486755,159400
1450,812.0,1430.57644674,160500
1460,816.0,1439.06330204,161600
1470,834.0,1447.6695087,162700
1480,836.0,1456.27723402,163800
1490,811.0,1465.13698006,164900
1500,823.0,1473.67310216,166000
1510,820.0,1481.97568214,167100
1520,819.0,1490.5278674,168200
1530,807.0,1499.23896814,169300
1540,818.0,1507.37118524,170400
1550,818.0,1516.05176316,171500
1560,812.0,1524.62798794,172600
1570,806.0,1533.42533797,173700
1580,812.0,1542.25413196,174800
1590,822.0,1551.90120867,175900
1600,816.0,1561.28446796,177000
1610,820.0,1571.37461446,178100
1620,818.0,1583.56036148,179200
1630,822.0,1594.8748113,180300
1640,810.0,1605.75248825,181400
1650,808.0,1615.91218078,182500
1660,814.0,1627.03902665,183600
1670,806.0,1636.93072239,184700
1680,818.0,1646.63180677,185800
1690,816.0,1656.54323824,186900
1700,818.0,1666.59510814,188000
1710,824.0,1677.09720588,189100
1720,820.0,1686.80231368,190200
1730,816.0,1697.45392874,191300
1740,828.0,1707.86102684,192400
1750,816.0,1717.84125158,193500
1760,834.0,1726.92794833,194600
1770,814.0,1735.66924315,195700
1780,828.0,1744.64032406,196800
1790,824.0,1753.33898751,197900
1800,822.0,1762.39389627,199000
1810,832.0,1771.95816761,200100
1820,814.0,1781.69291954,201200
1830,814.0,1790.61369173,202300
1840,822.0,1799.51972891,203400
1850,818.0,1808.88305425,204500
1860,818.0,1817.87497847,205600
1870,824.0,1826.67764408,206700
1880,818.0,1842.76278348,207800
1890,818.0,1864.86122933,208900
1900,812.0,1882.37105012,210000
1910,818.0,1906.93667532,211100
1920,816.0,1919.01074295,212200
1930,816.0,1930.16541069,213300
1940,820.0,1939.71360342,214400
1950,822.0,1951.01928182,215500
1960,812.0,1960.95874352,216600
1970,812.0,1970.99934568,217700
1980,814.0,1981.15954073,218800
1990,828.0,1991.32999193,219900
2000,814.0,2001.25946104,221000
2010,808.0,2010.51665111,222100
2020,814.0,2020.12986511,223200
2030,818.0,2029.18914632,224300
2040,814.0,2037.93859496,225400
2050,811.0,2046.74636925,226500
2060,806.0,2055.45193632,227600
2070,808.0,2064.53322878,228700
2080,816.0,2074.66403531,229800
2090,810.0,2085.25880455,230900
2100,796.0,2094.31526138,232000
2110,818.0,2104.63568982,233100
2120,812.0,2114.86076573,234200
2130,816.0,2124.31894772,235300
2140,812.0,2134.40938987,236400
2150,812.0,2144.43704138,237500
2160,818.0,2154.99852081,238600
