iterations,fitness,time,fevals
0,484.0,8.3018e-05,11
10,486.0,0.000194704,21
20,488.0,0.000308307,31
30,490.0,0.000405196,41
40,490.0,0.00049465,51
50,494.0,0.000582885,61
60,498.0,0.000770132,71
70,498.0,0.000874558,81
80,506.0,0.000951198,91
90,508.0,0.001046584,101
100,510.0,0.001130585,111
110,514.0,0.001209622,121
120,516.0,0.001280691,131
130,520.0,0.001393463,141
140,522.0,0.001486631,151
150,526.0,0.001600045,161
160,528.0,0.001695209,171
170,530.0,0.00183216,181
180,534.0,0.001922859,191
190,536.0,0.002074465,201
200,540.0,0.00221203,211
210,540.0,0.002515307,221
220,542.0,0.002657145,231
230,544.0,0.00274877,241
240,544.0,0.002825502,251
250,546.0,0.002920194,261
260,550.0,0.003053912,271
270,554.0,0.003143464,281
280,558.0,0.003256771,291
290,558.0,0.003358556,301
300,558.0,0.00365018,311
310,558.0,0.00376996,321
320,562.0,0.003861589,331
330,562.0,0.003950249,341
340,566.0,0.004043478,351
350,566.0,0.006538638,361
360,568.0,0.006661003,371
370,568.0,0.011937134,381
380,568.0,0.012051795,391
390,568.0,0.012164393,401
400,572.0,0.012341884,411
410,574.0,0.012452617,421
420,578.0,0.012549586,431
430,582.0,0.012725444,441
440,582.0,0.013046901,451
450,584.0,0.013221998,461
460,586.0,0.01333756,471
470,586.0,0.013506845,481
480,586.0,0.013800996,491
490,586.0,0.013931754,501
500,588.0,0.014029807,511
510,592.0,0.014115633,521
520,594.0,0.014203305,531
530,596.0,0.014337921,541
540,596.0,0.014420682,551
550,596.0,0.014529619,561
560,596.0,0.014616917,571
570,598.0,0.014720506,581
580,598.0,0.014833925,591
590,600.0,0.015097892,601
600,602.0,0.018221904,611
610,604.0,0.018349698,621
620,604.0,0.01845597,631
630,606.0,0.018564286,641
640,606.0,0.018692422,651
650,610.0,0.018788904,661
660,614.0,0.018873175,671
670,614.0,0.018945292,681
680,614.0,0.019202975,691
690,614.0,0.019888214,701
700,616.0,0.02017079,711
710,618.0,0.0202641,721
720,618.0,0.020377783,731
730,618.0,0.020483239,741
740,618.0,0.02055616,751
750,620.0,0.020646942,761
760,622.0,0.020766843,771
770,622.0,0.020846063,781
780,624.0,0.020928205,791
790,624.0,0.02099631,801
800,626.0,0.021094827,811
810,628.0,0.021185795,821
820,632.0,0.021290163,831
830,632.0,0.021671995,841
840,632.0,0.021772423,851
850,634.0,0.022033669,861
