iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.309605995
10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.772910262
20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.346176251
30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.731125853
40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.171311545
50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.761875362
60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.154914696
70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.97610201
80,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.525797182
90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.186305808
100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.952689895
110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.479412675
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.963778883
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.405823234
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.896219088
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.442581128
160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.131257939
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.571299481
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.218664054
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.634083815
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.359955952
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.806496114
220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.45625831
230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.850306824
240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.330099229
250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.795167497
260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.375261186
270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.820007266
280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.307833327
290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.976550714
300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.375244448
310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.202992903
320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.577251041
330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.182919552
340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.647676294
350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.226673981
360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.664387868
370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.468909132
380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.941591026
390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.340393406
400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.735971836
410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.325832187
420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.720843507
430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.360123671
440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.727372145
450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.145042537
460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.567981808
470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.935911813
480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.427348171
490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.836447765
500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.342578899
510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.730867725
520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.32001881
530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.682295657
540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.237429759
550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.656628757
560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.25896682
570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.68603039
580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.35245477
590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.7323364
600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31.24948394
610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31.649624813
620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,32.185927654
630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,32.560691131
640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.03902918
650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.406746199
660,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.824101429
670,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.259013044
680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.702204502
690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.089075954
700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.482914036
710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.911394077
720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.36224518
730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.753219866
740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.168731905
750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.734855322
760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.110514382
770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.689214422
780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,39.096528439
790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,39.687996656
