iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0,0,0,1,1,1,1,1,1,0.309605995
10,0,0,0,1,1,1,1,1,1,0.772910262
20,0,0,0,1,1,1,1,1,1,1.346176251
30,0,0,0,1,1,1,1,1,1,1.731125853
40,0,0,0,1,1,1,1,1,1,2.171311545
50,0,0,0,1,1,1,1,1,1,2.761875362
60,0,0,0,1,1,1,1,1,1,3.154914696
70,0,0,0,1,1,1,1,1,1,3.97610201
80,0,0,0,1,1,1,1,1,1,4.525797182
90,0,0,0,1,1,1,1,1,1,5.186305808
100,0,0,0,1,1,1,1,1,1,5.952689895
110,0,0,0,1,1,1,1,1,1,6.479412675
120,0,0,0,1,1,1,1,1,1,6.963778883
130,0,0,0,1,1,1,1,1,1,7.405823234
140,0,0,0,1,1,1,1,1,1,7.896219088
150,0,0,0,1,1,1,1,1,1,8.442581128
160,0,0,0,1,1,1,1,1,1,9.131257939
170,0,0,0,1,1,1,1,1,1,9.571299481
180,0,0,0,1,1,1,1,1,1,10.21866405
190,0,0,0,1,1,1,1,1,1,10.63408382
200,0,0,0,1,1,1,1,1,1,11.35995595
210,0,0,0,1,1,1,1,1,1,11.80649611
220,0,0,0,1,1,1,1,1,1,12.45625831
230,0,0,0,1,1,1,1,1,1,12.85030682
240,0,0,0,1,1,1,1,1,1,13.33009923
250,0,0,0,1,1,1,1,1,1,13.7951675
260,0,0,0,1,1,1,1,1,1,14.37526119
270,0,0,0,1,1,1,1,1,1,14.82000727
280,0,0,0,1,1,1,1,1,1,15.30783333
290,0,0,0,1,1,1,1,1,1,15.97655071
300,0,0,0,1,1,1,1,1,1,16.37524445
310,0,0,0,1,1,1,1,1,1,17.2029929
320,0,0,0,1,1,1,1,1,1,17.57725104
330,0,0,0,1,1,1,1,1,1,18.18291955
340,0,0,0,1,1,1,1,1,1,18.64767629
350,0,0,0,1,1,1,1,1,1,19.22667398
360,0,0,0,1,1,1,1,1,1,19.66438787
370,0,0,0,1,1,1,1,1,1,20.46890913
380,0,0,0,1,1,1,1,1,1,20.94159103
390,0,0,0,1,1,1,1,1,1,21.34039341
400,0,0,0,1,1,1,1,1,1,21.73597184
410,0,0,0,1,1,1,1,1,1,22.32583219
420,0,0,0,1,1,1,1,1,1,22.72084351
430,0,0,0,1,1,1,1,1,1,23.36012367
440,0,0,0,1,1,1,1,1,1,23.72737215
450,0,0,0,1,1,1,1,1,1,24.14504254
460,0,0,0,1,1,1,1,1,1,24.56798181
