iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.489857385252,0.492296395782,0.492296395782,0.0191510807481,0.0138826690551,0.0138826690551,0.0375824175824,0.0273851590106,0.0273851590106,0.021207903
10,0.493206783383,0.495146203854,0.495146203854,0.0126553925412,0.00850873264666,0.00850873264666,0.0249944702499,0.0168738898757,0.0168738898757,0.317403423
20,0.445346265384,0.442545291625,0.442545291625,0.106394893045,0.113300492611,0.113300492611,0.192327158619,0.203539823009,0.203539823009,0.453175173
30,0.425688018506,0.422319825214,0.422319825214,0.145928995408,0.15315718764,0.15315718764,0.254691164973,0.265631067961,0.265631067961,0.585515677
40,0.473783097841,0.472613826503,0.472613826503,0.0493896292978,0.0523958799821,0.0523958799821,0.0941302027748,0.0995744680851,0.0995744680851,0.739149873
50,0.42460359003,0.421668382236,0.421668382236,0.147944898645,0.154500671742,0.154500671742,0.257756097561,0.267649340574,0.267649340574,0.88457372
60,0.436770120036,0.43336733913,0.43336733913,0.121402172696,0.12987012987,0.12987012987,0.216518525916,0.229885057471,0.229885057471,1.060452995
70,0.40207739875,0.404101210064,0.404101210064,0.194422667712,0.189879086431,0.189879086431,0.325550867323,0.319156943922,0.319156943922,1.194500407
80,0.400955228274,0.403189018076,0.403189018076,0.1962145817,0.191670398567,0.191670398567,0.32805917049,0.321683577602,0.321683577602,1.343255954
90,0.400098859549,0.40222802394,0.40222802394,0.197894501064,0.193013882669,0.193013882669,0.330403889304,0.323573573574,0.323573573574,1.491795665
100,0.398463031493,0.401255215277,0.401255215277,0.20147832904,0.195253022839,0.195253022839,0.33538404176,0.326714125141,0.326714125141,1.617983555
110,0.398434343308,0.401231365003,0.401231365003,0.20147832904,0.195253022839,0.195253022839,0.33538404176,0.326714125141,0.326714125141,1.752572613
120,0.364546113409,0.365429307771,0.365429307771,0.270579012207,0.268248992387,0.268248992387,0.42591449978,0.42302259887,0.42302259887,1.907354691
130,0.364468527358,0.365283360338,0.365283360338,0.270579012207,0.268696820421,0.268696820421,0.42591449978,0.423579244617,0.423579244617,2.061471836
140,0.350749044694,0.351464354033,0.351464354033,0.297457722029,0.296014330497,0.296014330497,0.458523953388,0.456807187284,0.456807187284,2.207226551
150,0.350748315108,0.351464351208,0.351464351208,0.297457722029,0.296014330497,0.296014330497,0.458523953388,0.456807187284,0.456807187284,2.347076061
160,2.19597622311e-07,5.20212652761e-10,5.20212652761e-10,1.0,1.0,1.0,1.0,1.0,1.0,2.518783023
170,5.31413188464e-14,9.94648555965e-15,9.94648555965e-15,1.0,1.0,1.0,1.0,1.0,1.0,2.839270051
180,5.1602763911e-14,9.46271304557e-15,9.46271304557e-15,1.0,1.0,1.0,1.0,1.0,1.0,2.971457669
190,5.8362801783e-18,1.46401059485e-16,1.46401059485e-16,1.0,1.0,1.0,1.0,1.0,1.0,3.137987091
200,1.98786119404e-23,2.27657808795e-26,2.27657808795e-26,1.0,1.0,1.0,1.0,1.0,1.0,3.530689341
210,1.76748214959e-23,2.2765988152e-26,2.2765988152e-26,1.0,1.0,1.0,1.0,1.0,1.0,3.843210488
220,1.5189453911e-23,1.08611019234e-26,1.08611019234e-26,1.0,1.0,1.0,1.0,1.0,1.0,4.038865551
230,7.58964751454e-24,1.08611007311e-26,1.08611007311e-26,1.0,1.0,1.0,1.0,1.0,1.0,4.16948164
240,7.13413984832e-24,8.66396484332e-27,8.66396484332e-27,1.0,1.0,1.0,1.0,1.0,1.0,4.326778617
250,1.71831532535e-25,9.16072939809e-28,9.16072939809e-28,1.0,1.0,1.0,1.0,1.0,1.0,4.619800994
260,3.49966640981e-28,4.13109816858e-32,4.13109816858e-32,1.0,1.0,1.0,1.0,1.0,1.0,4.748601846
270,6.0710067464e-29,5.85110109392e-34,5.85110109392e-34,1.0,1.0,1.0,1.0,1.0,1.0,4.884400062
280,4.83607063129e-29,1.5234942471e-33,1.5234942471e-33,1.0,1.0,1.0,1.0,1.0,1.0,5.104353793
