iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.129483599
10,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.847383457
20,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.206568188
30,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.660405324
40,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.02596844
50,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.59487965
60,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.943467278
70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.270809119
80,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.011919621
90,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.325321224
100,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.118966143
110,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.449388336
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.129233336
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.623049641
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.036501509
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.343938541
160,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.652754071
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.240212776
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.547318534
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.866206407
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.17369637
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.481286468
220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.816755549
230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.130701789
240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.867762979
250,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.279886338
260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.642867571
270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.098644236
280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.398828401
290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.712506561
300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.044261014
310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,13.609212866
320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.011593221
330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.365989127
340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.824372439
350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.31675702
360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.2789652
370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,16.656769186
380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.389287978
390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.73076739
400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.08440496
410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.517582049
420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.83494041
430,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.428282962
440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,19.747781257
450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.309004123
460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.655129937
470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20.995605952
480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.580697221
490,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.888520432
500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.238008686
510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.578879729
520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,22.891083386
530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.228292121
540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,23.536545908
550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.065124514
560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.375253409
570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.738547565
580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.210010512
590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.513778513
600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.879912633
610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.252455738
620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,26.5874345
630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.107247496
640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,27.422835685
650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.173185581
660,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.686602698
670,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,28.981721109
680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.416151709
690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,29.784980943
700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.313745412
710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.611737067
720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30.931505684
730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31.249417831
740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31.550105677
750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,31.865059226
760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,32.199706288
770,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,32.667373362
780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.04375313
790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.357027171
800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,33.888362601
810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.232216598
820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,34.892928326
830,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.278011051
840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,35.818347208
850,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.136542377
860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.463120282
870,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,36.973971892
880,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.288032693
890,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,37.642145506
900,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.039756074
910,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.453081324
920,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,38.830387331
930,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,39.308719014
940,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,39.985083941
950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.37084971
960,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,40.776249495
970,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.2748781
980,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,41.766152204
990,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.245623258
1000,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.638204272
1010,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,42.962996196
1020,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,43.333633601
1030,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,43.712990311
1040,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,44.278634733
