iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.206950874
10,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207017705
20,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207085363
30,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.2071077
40,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207136049
50,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207148106
60,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207161216
70,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207175314
80,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207188114
90,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207228958
100,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207245726
110,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207258231
120,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207269278
130,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207281627
140,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207298903
150,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207317056
160,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207336042
170,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207347889
180,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207360175
190,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207372618
200,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207385027
210,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207397467
220,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207409864
230,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.20742307
240,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207435217
250,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207450931
260,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207463105
270,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207475728
280,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207488392
290,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207500361
300,1.0526152181e-33,1.67014574349e-33,4.02321821616e-29,1.0,1.0,1.0,1.0,1.0,1.0,0.207512172
