iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,1.75850036384e-29,1.69441965344e-20,4.37231748384e-27,1.0,1.0,1.0,1.0,1.0,1.0,0.010134804
10,1.04229889872e-29,4.1823954423e-21,2.41903916175e-28,1.0,1.0,1.0,1.0,1.0,1.0,0.11021091
20,5.13676226433e-30,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.222570533
30,9.87818986232e-31,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33415258
40,3.10607769275e-35,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.450248989
50,3.10607769275e-35,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.554848971001
60,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.679016577001
70,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.789548365
80,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.895460436
90,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999619087
100,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.195332011
110,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.303699436
120,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.408287587
130,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5196106
140,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.624773635
150,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.734059484
160,3.45119743639e-34,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.839833318
170,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.963927968
180,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.066043551
190,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.195247766
200,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.298840767
210,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.549167647
220,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.656384562
230,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.762310836
240,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.879982198
250,1.67037955921e-33,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.985311121
260,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.12645309
270,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.234380873
280,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.545420363
290,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.652649856
300,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.759205872
310,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.871155331
320,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.038317372
330,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.150719153
340,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.258641103
350,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.369196966
360,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.729163109
370,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.838447002
380,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.950580438
390,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.061716529
400,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.264658795
410,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.379914222
420,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.483555407
430,2.20876635929e-34,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.60018268
440,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.71307707
450,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.823927192
460,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.934476965
470,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.045073222
480,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.156185733
490,5.52191589823e-35,3.74666141122e-30,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.274323944
500,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.378474343
510,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.491800803
520,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.598870965
530,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.718779052
540,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,6.925906473
550,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.047029384
560,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.157571508
570,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.274927159
580,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.385876964
590,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.491830131
600,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.601739456
610,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.71265449
620,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.823872018
630,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,7.931559188
640,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.047666228
650,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.229824648
660,5.52191589823e-35,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.34139257
670,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.445699476
680,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.568798308
690,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.679415419
700,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.79776402
710,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.903043459
720,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.049700628
730,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.163250954
740,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.269929537
750,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.373830115
760,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.543700285
770,1.38047897456e-35,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.656997558
780,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.771320362
790,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,9.886198959
800,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.006815626
810,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.124420234
820,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.23282181
830,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.344649172
840,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.449788081
850,2.86259571362e-31,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.565233549
860,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.67436915
870,5.52191589823e-35,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.793400724
880,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,10.90147995
890,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.011810133
900,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.333003926
910,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.446296961
920,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.555046849
930,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.669413958
940,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.892674811
950,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.003236571
960,3.45119743639e-36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.118319405
970,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.313411796
980,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.419268858
990,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.527728723
1000,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,12.63740303
