iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,0.05755583958,0.05818223553,0.05918265233,0.8429058857,0.8436611711,0.8353797181,0.9131494144,0.913981858,0.9090452261,0.11698879
10,0.0008515067685,0.0007750350685,0.0007084570983,0.9978675007,0.9982944855,0.9981809914,0.9988103735,0.9990485252,0.9989847716,0.504185654
20,4.30E-05,0.0003823879006,0.0003083322736,1,0.9994314952,0.9995452478,1,0.9996828417,0.9997462573,0.83601252
30,1.32E-06,0.0002855503335,0.0002782754711,1,0.9994314952,0.9995452478,1,0.9996828417,0.9997462573,1.090622648
40,9.39E-08,0.0002843283866,0.0003063023387,1,0.9994314952,0.9990904957,1,0.9996828417,0.9994923858,1.354125309
50,3.27E-09,0.0002850296175,0.0003622172989,1,0.9994314952,0.9990904957,1,0.9996828417,0.9994923858,1.694744018
60,6.82E-12,0.0003640114423,0.0004545362798,1,0.9988629903,0.9990904957,1,0.9993658846,0.9994923858,2.205224085
70,4.24E-17,0.0008519373643,0.0004547520406,1,0.9982944855,0.9990904957,1,0.9990485252,0.9994923858,2.501064922
80,3.93E-23,0.0008527572434,0.0004547973667,1,0.9982944855,0.9990904957,1,0.9990485252,0.9994923858,2.897303602
90,8.98E-30,0.0008527572488,0.0004547838177,1,0.9982944855,0.9990904957,1,0.9990485252,0.9994923858,3.136057758
100,1.66E-33,0.001124811778,0.000454801436,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,3.482779033
110,5.77E-36,0.001136696258,0.0006006264241,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,3.924166881
120,3.91E-35,0.001136977433,0.0006294301017,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,4.267528599
130,1.10E-35,0.001137004258,0.0006382906208,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,4.872031642
140,3.90E-36,0.001137009593,0.0006398685387,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,5.203337149
150,7.36E-36,0.001137010505,0.0006572421932,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,5.781057744
160,7.33E-36,0.001137021515,0.0006486195049,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,6.072786306
170,2.13E-35,0.001137043492,0.000586182081,1,0.9977259807,0.9986357435,1,0.9987309645,0.9992383854,6.355445952
180,7.26E-36,0.001137025992,0.0004874005878,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,6.72501587
190,1.88E-37,0.0011370145,0.0004571902794,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,6.981756527
200,3.63E-36,0.00113701052,0.0004549358954,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,7.236498877
210,7.07E-36,0.001137009559,0.0004547540471,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,7.490097409
220,3.56E-36,0.001137009806,0.0004547534126,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,7.751061622
230,7.06E-36,0.001137034851,0.0004547533057,1,0.9977259807,0.9990904957,1,0.9987309645,0.9994923858,8.306091088
