iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,f1_trg,f1_val,f1_tst,elapsed
0,1.07E-01,0.1063323067,0.1076829634,0.6821154393,0.6958499147,0.6689404275,0.8101545254,0.8199259509,0.8010928962,0.024176
10,1.03E-01,0.1030173598,0.1042201618,0.7357122548,0.7464468448,0.7198726694,0.8471091373,0.8544386423,0.8366914104,0.17494515
20,1.02E-01,0.1015650355,0.1028396627,0.7378447541,0.74587834,0.7194179172,0.8484798685,0.8541598695,0.836122178,0.291761496
30,9.77E-02,0.09790629636,0.09864207564,0.7968439011,0.7993177942,0.7844474761,0.8794804757,0.8816627556,0.8712656165,0.388879323
40,9.65E-02,0.09678807895,0.09740762783,0.8056582314,0.8106878908,0.7976352888,0.8855204757,0.8894055131,0.880472737,0.48650426
50,9.06E-02,0.09069389441,0.0905265348,0.8475973841,0.8555997726,0.8449295134,0.9096273816,0.9143049933,0.9075630252,0.582079865
60,8.40E-02,0.0839869201,0.08417514762,0.9038953654,0.9033541785,0.9095043201,0.9464596864,0.9462025316,0.9496330043,0.698680626
70,7.98E-02,0.07975373361,0.07984664512,0.9067386978,0.9073337123,0.9104138245,0.9481176843,0.9485317335,0.9502148092,0.789342023
80,7.43E-02,0.07455741297,0.07426998093,0.9175433608,0.9164297897,0.9217826285,0.9543809973,0.9538171536,0.9567839196,0.902510042
90,7.19E-02,0.07217485907,0.07191621948,0.9215240262,0.9175667993,0.9249658936,0.9566514842,0.9544740973,0.9585739392,1.07977342
100,7.26E-02,0.07262111373,0.07235758068,0.9286323571,0.9204093235,0.9258753979,0.9605717876,0.9559748428,0.9590143324,1.232830506
110,7.02E-02,0.07057989037,0.07022966822,0.9178276941,0.9141557703,0.9172351069,0.9548790008,0.9529154974,0.9545454545,1.36416621
120,6.56E-02,0.06609985727,0.06563498063,0.9344611885,0.932347925,0.9381537062,0.9639308348,0.962730974,0.965880582,1.463215378
